Results for maximal NE \\ 
|V| =20 

 & ins & time & iter & pNE & mNE & size S & numb_back & time & iter & pNE & mNE & size S \\ 
&1 & 0.01 & 2 & 1 & 0 &[2, 1] & 0 & & 0.01 & 2 & 1 & 0 &[2, 1]& 
 &2 & 0.00 & 2 & 1 & 0 &[2, 1] & 0 & & 0.00 & 2 & 1 & 0 &[2, 1]& 
 &3 & 0.01 & 2 & 1 & 0 &[1, 2] & 0 & & 0.01 & 2 & 1 & 0 &[1, 2]& 
 &4 & 0.00 & 1 & 1 & 0 &[1, 1] & 0 & & 0.00 & 1 & 1 & 0 &[1, 1]& 
 &5 & 0.00 & 2 & 1 & 0 &[2, 1] & 0 & & 0.00 & 2 & 1 & 0 &[2, 1]& 
 &6 & 0.01 & 2 & 1 & 0 &[1, 2] & 0 & & 0.01 & 2 & 1 & 0 &[1, 2]& 
 &7 & 0.00 & 1 & 1 & 0 &[1, 1] & 0 & & 0.00 & 1 & 1 & 0 &[1, 1]& 
 &8 & 0.01 & 3 & 1 & 0 &[2, 2] & 0 & & 0.01 & 3 & 1 & 0 &[2, 2]& 
 &9 & 0.01 & 2 & 1 & 0 &[2, 1] & 0 & & 0.01 & 2 & 1 & 0 &[2, 1]& 
 &10 & 0.00 & 1 & 1 & 0 &[1, 1] & 0 & & 0.00 & 1 & 1 & 0 &[1, 1]& 
 &11 & 0.00 & 1 & 1 & 0 &[1, 1] & 0 & & 0.00 & 1 & 1 & 0 &[1, 1]& 
 &12 & 0.00 & 1 & 1 & 0 &[1, 1] & 0 & & 0.00 & 1 & 1 & 0 &[1, 1]& 
 &13 & 0.00 & 2 & 1 & 0 &[2, 1] & 0 & & 0.00 & 2 & 1 & 0 &[2, 1]& 
 &14 & 0.01 & 3 & 1 & 0 &[2, 2] & 0 & & 0.01 & 3 & 1 & 0 &[2, 2]& 
 &15 & 0.03 & 3 & 1 & 0 &[2, 2] & 0 & & 0.03 & 3 & 1 & 0 &[2, 2]& 
 &16 & 0.01 & 2 & 1 & 0 &[1, 2] & 0 & & 0.01 & 2 & 1 & 0 &[1, 2]& 
 &17 & 0.00 & 1 & 1 & 0 &[1, 1] & 0 & & 0.00 & 1 & 1 & 0 &[1, 1]& 
 &18 & 0.00 & 2 & 1 & 0 &[2, 1] & 0 & & 0.00 & 2 & 1 & 0 &[2, 1]& 
 &20 & 0.01 & 3 & 1 & 0 &[2, 2] & 0 & & 0.01 & 3 & 1 & 0 &[2, 2]& 
 &21 & 0.01 & 2 & 1 & 0 &[2, 1] & 0 & & 0.01 & 2 & 1 & 0 &[2, 1]& 
 &22 & 0.02 & 2 & 1 & 0 &[2, 1] & 0 & & 0.02 & 2 & 1 & 0 &[2, 1]& 
 &23 & 0.00 & 1 & 1 & 0 &[1, 1] & 0 & & 0.00 & 1 & 1 & 0 &[1, 1]& 
 &24 & 0.00 & 1 & 1 & 0 &[1, 1] & 0 & & 0.00 & 1 & 1 & 0 &[1, 1]& 
 &25 & 0.00 & 2 & 1 & 0 &[2, 1] & 0 & & 0.00 & 2 & 1 & 0 &[2, 1]& 
 &26 & 0.02 & 3 & 1 & 0 &[2, 2] & 0 & & 0.02 & 3 & 1 & 0 &[2, 2]& 
 &27 & 0.00 & 2 & 1 & 0 &[2, 1] & 0 & & 0.00 & 2 & 1 & 0 &[2, 1]& 
 &28 & 0.00 & 1 & 1 & 0 &[1, 1] & 0 & & 0.00 & 1 & 1 & 0 &[1, 1]& 
 &29 & 0.01 & 2 & 1 & 0 &[2, 1] & 0 & & 0.01 & 2 & 1 & 0 &[2, 1]& 
 &30 & 0.01 & 3 & 1 & 0 &[2, 2] & 0 & & 0.01 & 3 & 1 & 0 &[2, 2]& 
 &31 & 0.00 & 2 & 1 & 0 &[2, 1] & 0 & & 0.00 & 2 & 1 & 0 &[2, 1]& 
 &32 & 0.01 & 2 & 1 & 0 &[2, 1] & 0 & & 0.01 & 2 & 1 & 0 &[2, 1]& 
 &33 & 0.00 & 1 & 1 & 0 &[1, 1] & 0 & & 0.00 & 1 & 1 & 0 &[1, 1]& 
 &34 & 0.00 & 1 & 1 & 0 &[1, 1] & 0 & & 0.00 & 1 & 1 & 0 &[1, 1]& 
 &35 & 0.01 & 1 & 1 & 0 &[1, 1] & 0 & & 0.01 & 1 & 1 & 0 &[1, 1]& 
 &36 & 0.00 & 1 & 1 & 0 &[1, 1] & 0 & & 0.00 & 1 & 1 & 0 &[1, 1]& 
 &37 & 0.01 & 2 & 1 & 0 &[2, 1] & 0 & & 0.01 & 2 & 1 & 0 &[2, 1]& 
 &38 & 0.00 & 1 & 1 & 0 &[1, 1] & 0 & & 0.00 & 1 & 1 & 0 &[1, 1]& 
 &39 & 0.00 & 2 & 1 & 0 &[2, 1] & 0 & & 0.00 & 2 & 1 & 0 &[2, 1]& 
 &40 & 0.01 & 3 & 1 & 0 &[2, 2] & 0 & & 0.01 & 3 & 1 & 0 &[2, 2]& 
 &41 & 0.00 & 1 & 1 & 0 &[1, 1] & 0 & & 0.00 & 1 & 1 & 0 &[1, 1]& 
 &42 & 0.00 & 1 & 1 & 0 &[1, 1] & 0 & & 0.00 & 1 & 1 & 0 &[1, 1]& 
 &43 & 0.01 & 2 & 1 & 0 &[1, 2] & 0 & & 0.01 & 2 & 1 & 0 &[1, 2]& 
 &44 & 0.00 & 2 & 1 & 0 &[2, 1] & 0 & & 0.00 & 2 & 1 & 0 &[2, 1]& 
 &45 & 0.01 & 1 & 1 & 0 &[1, 1] & 0 & & 0.01 & 1 & 1 & 0 &[1, 1]& 
 &46 & 0.00 & 2 & 1 & 0 &[1, 2] & 0 & & 0.00 & 2 & 1 & 0 &[1, 2]& 
 &47 & 0.01 & 3 & 1 & 0 &[2, 2] & 0 & & 0.01 & 3 & 1 & 0 &[2, 2]& 
